LSOA code (2011),LSOA name (2011),Local Authority District code (2013),Local Authority District name (2013),Income Score,Employment Score,"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score 
E01013975,Nottingham 032C,E06000018,Nottingham,2.565,1.516,16.967,16.341,3.227,51.886,25.405
E01013976,Nottingham 032D,E06000018,Nottingham,40.554,27.565,44.334,24.58,55.555,27.862,32.161
E01013895,Nottingham 034A,E06000018,Nottingham,7.595,13.131,13.809,12.687,10.569,53.548,13.288
E01013896,Nottingham 034B,E06000018,Nottingham,52.651,56.422,59.624,61.359,30.17,17.77,18.259
E01013901,Nottingham 034C,E06000018,Nottingham,1.8,5.672,2.548,11.545,8.284,6.839,28.495
E01013902,Nottingham 034D,E06000018,Nottingham,5.987,8.833,7.69,15.034,6.538,30.335,27.43
E01013897,Nottingham 035A,E06000018,Nottingham,35.199,43.986,62.608,50.522,50.516,12.767,33.346
E01013898,Nottingham 035B,E06000018,Nottingham,19.53,8.734,44.444,35.935,20.946,31.39,17.976
E01013899,Nottingham 035C,E06000018,Nottingham,33.338,30.019,72.799,38.474,49.182,8.674,21.036
E01013900,Nottingham 035D,E06000018,Nottingham,34.562,40.744,56.664,50.535,43.874,29.708,18.193
E01013903,Nottingham 035E,E06000018,Nottingham,18.291,20.505,29.478,22.028,69.766,13.53,22.169
E01013907,Nottingham 035F,E06000018,Nottingham,38.6,42.694,66.568,46.137,38.21,17.758,21.729
E01013905,Nottingham 036A,E06000018,Nottingham,36.758,40.225,49.507,49.453,33.679,24.049,18.929
E01013908,Nottingham 036B,E06000018,Nottingham,41.042,46.61,76.524,40.602,11.56,43.417,15.252
E01013909,Nottingham 036C,E06000018,Nottingham,54.224,56.382,72.93,62.047,33.757,48.654,7.816
E01013912,Nottingham 036D,E06000018,Nottingham,13.544,19.857,32.225,26.268,57.933,14.887,17.89
E01013904,Nottingham 037A,E06000018,Nottingham,32.556,31.124,69.837,40.429,32.11,16.682,23.391
E01013906,Nottingham 037B,E06000018,Nottingham,37.593,39.188,52.407,42.885,26.251,16.413,20.336
E01013910,Nottingham 037C,E06000018,Nottingham,42.509,38.744,54.801,53.147,39.699,23.641,28.873
E01013911,Nottingham 037D,E06000018,Nottingham,32.753,36.011,53.569,43.335,19.803,24.741,22.395
E01013849,Nottingham 038A,E06000018,Nottingham,62.139,53.977,72.137,63.172,65.175,47.151,15.857
E01013850,Nottingham 038B,E06000018,Nottingham,43.29,65.77,62.65,63.486,41.881,14.878,21.524
E01013851,Nottingham 038C,E06000018,Nottingham,80.786,72.281,65.175,65.116,56.119,43.276,10.123
E01013852,Nottingham 038D,E06000018,Nottingham,42.733,53.336,43.943,46.932,17.783,15.465,18.697
E01032621,Nottingham 038E,E06000018,Nottingham,36.398,51.184,48.557,52.218,18.866,12.677,18.946
E01013874,Nottingham 039A,E06000018,Nottingham,24.419,21.091,25.458,32.158,40.768,8.379,57.626
E01033400,Nottingham 039B,E06000018,Nottingham,38.015,33.473,37.314,36.977,55.905,50.823,52.407
E01033402,Nottingham 039C,E06000018,Nottingham,13.293,15.071,19.242,66.246,6.63,52.285,94.012
E01033403,Nottingham 039D,E06000018,Nottingham,13.089,11.295,4.911,39.245,67.498,53.64,79.045
E01033406,Nottingham 039E,E06000018,Nottingham,0.259,0.098,1.934,30.004,89.945,56.893,92.536
E01033407,Nottingham 039F,E06000018,Nottingham,8.529,3.197,7.712,37.36,82.393,45.315,96.719
E01013870,Nottingham 040A,E06000018,Nottingham,47.21,38.199,32.9,53.47,9.349,34.037,25.445
E01013871,Nottingham 040B,E06000018,Nottingham,68.105,66.196,52.447,60.119,54.496,29.309,21.503
E01013872,Nottingham 040C,E06000018,Nottingham,39.264,34.825,37.29,43.24,34.214,26.697,26.139
E01013873,Nottingham 040D,E06000018,Nottingham,38.026,26.934,38.163,36.067,16.39,22.578,39.645
